country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh,capacity_segment,energy_type,owner_group
IDN,Indonesia,Lodoyo - Brantas,WRI1000783,4.5,-8.1613,112.2173,Hydro,,Pln - Java Bali Generation Unit / Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,14.95002184405973,Small (<10 MW),Renewable,PLN Group
IDN,Indonesia,Maninjau Iii,WRI1000785,123.0,-0.2923,100.152,Hydro,,Pln-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,408.6339304042993,Large (>100 MW),Renewable,PLN Group
IDN,Indonesia,Mendalan - Brantas,WRI1000788,23.0,-7.854,112.3316,Hydro,,Pln - Java Bali Generation Unit / Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,76.41122275852751,Medium (10–100 MW),Renewable,PLN Group
IDN,Indonesia,Minahasa - Rental,WRI1000791,35.0,-1.4789,122.3858,Oil,,Pln - Rental,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,1276.6508306146068,Medium (10–100 MW),Fossil,PLN Group
IDN,Indonesia,Musi,WRI1000792,215.475,-3.766,102.435,Hydro,,Pln-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,715.8568792997268,Large (>100 MW),Renewable,PLN Group
IDN,Indonesia,Ngebel - Pamekasan,WRI1000793,2.2,-7.7891,111.6167,Hydro,,Pln - Java Bali Generation Unit / Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,7.3088995682069795,Small (<10 MW),Renewable,PLN Group
IDN,Indonesia,North Duri Cogeneration Plant,WRI1000794,300.0,1.3722,101.226,Gas,,Pt Mandau Cipta Tenaga Nusanatara (Subsidiary Of Chevron),Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,1318.1967213114756,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pb. Sudirman/Mrica,WRI1000800,180.9,-7.3927,109.6054,Hydro,,Pln - Pt. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,600.9908781312012,Large (>100 MW),Renewable,PLN Group
IDN,Indonesia,Pltg (Ex Pltd Sunyaragi),WRI1000809,18.0,-7.4064,109.5842,Gas,,Pln-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,79.09180327868853,Medium (10–100 MW),Fossil,PLN Group
IDN,Indonesia,Pltg Belawan,WRI1000817,260.0,3.5833,98.6667,Gas,,Pln / Kitsumbagut,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,1142.4371584699454,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltg Belawan Ttf,WRI1000818,105.0,3.5833,98.6667,Gas,,Pln / Kitsumbagut,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,461.3688524590164,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltg Cikarang Listrindo,WRI1000821,150.0,-6.1133,106.7788,Gas,,Pt. Cikarang Listrindo,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,659.0983606557378,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltg Cilacap,WRI1000822,55.0,-7.7264,109.0094,Gas,,Pln – Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,241.66939890710384,Medium (10–100 MW),Fossil,PLN Group
IDN,Indonesia,Pltg Duri Ex Pltg Sunyaragi Cent Java,WRI1000824,20.0,-7.4064,109.5842,Gas,,Pln,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,87.87978142076503,Medium (10–100 MW),Fossil,PLN Group
IDN,Indonesia,Pltg Gilimanuk,WRI1000825,133.0,-8.1716,114.4344,Gas,,Pt. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,584.4005464480874,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltg Grati,WRI1000829,302.0,-7.6517,113.0244,Gas,,Pt. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,1326.984699453552,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltg Gresik,WRI1000830,80.0,-7.1633,112.6615,Gas,,Pln – Java Bali Generation Unit / Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,351.5191256830601,Medium (10–100 MW),Fossil,PLN Group
IDN,Indonesia,Pltg Keramasan,WRI1000833,145.0,-2.9167,104.7458,Gas,,Pt Asta Keramasan Energy (Ake),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,637.1284153005465,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltg Keramasan #1 2 3 4,WRI1000834,65.0,-2.9167,104.7458,Gas,,Pln-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,285.60928961748635,Medium (10–100 MW),Fossil,PLN Group
IDN,Indonesia,Pltg Krakatau Posco Energy,WRI1000835,200.0,-6.0048,105.9961,Gas,,Pt. Krakatau Posco Energy (Jv : Korea Posco Energy (70%) + Pt. Krakatau Daya Listrik (30%)),Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,878.7978142076503,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltg Muara Tawar B-3,WRI1000836,420.0,-6.0867,106.9987,Gas,,Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,1845.4754098360656,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltg Muara Tawar Block 4,WRI1000837,420.0,-6.0867,106.9987,Gas,,Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,1845.4754098360656,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltg Pemaron,WRI1000844,97.0,-8.1189,115.0887,Gas,,Pt. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,426.2169398907104,Medium (10–100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltg Pesanggaran,WRI1000845,122.0,-8.7157,115.214,Gas,,Pt. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,536.0666666666667,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltg Priok,WRI1000846,52.0,-6.1071,106.8716,Gas,,Pt. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,228.48743169398907,Medium (10–100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltg Sengkang/Wajo,WRI1000849,180.0,-5.14,119.4221,Gas,,Pt. Energy Sengkang,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,790.9180327868852,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltg Sunyaragi 1 2 3 4,WRI1000855,80.0,-7.4064,109.5842,Gas,,Pln – Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,351.5191256830601,Medium (10–100 MW),Fossil,PLN Group
IDN,Indonesia,Pltg Tarakan,WRI1000858,23.0,3.3,117.6333,Gas,,Pt. Cahaya Sakti,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,101.0617486338798,Medium (10–100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltg Tello,WRI1000859,123.0,-5.14,119.4221,Gas,,Pln-South&South East Sulawesi Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,540.4606557377049,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltgb Singkawang,WRI1000867,9.0,0.9,109.0,Gas,,Plt – Rented From Pt. Krista Inti Persada,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,39.545901639344265,Small (<10 MW),Fossil,Non-PLN
IDN,Indonesia,Pltgb Tanjung Batu,WRI1000868,2.0,-0.5,117.15,Gas,,Pln – Sewa,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,8.787978142076502,Small (<10 MW),Fossil,PLN Group
IDN,Indonesia,Pltgu Bekasi Power,WRI1000870,130.0,-6.2611,107.1528,Gas,,Pt. Bekasi Power/Pt. Kawasan Industri Jababeka Tbk,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,571.2185792349727,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltgu Belawan – Sicanang,WRI1000871,817.0,3.7715,98.6687,Gas,,Pln / Kitsumbagut,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,3589.889071038251,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltgu Cilegon,WRI1000874,903.0,-5.9306,106.1042,Gas,,Pln Cilegon Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,3967.7721311475407,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltgu Grati,WRI1000875,461.0,-7.6517,113.0244,Gas,,Pt. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,2025.6289617486336,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltgu Gresik,WRI1000876,1579.0,-7.1633,112.6615,Gas,,Pln – Java Bali Generation Unit / Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,6938.1087431694,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltgu Krakatau Daya Listrik (Kdl),WRI1000878,400.0,-5.9924,105.9849,Gas,,Pt. Krakatau Daya Listrik,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,1757.5956284153006,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltgu Muara Karang Block I,WRI1000879,509.0,-6.1087,106.7877,Gas,,Pln – Java Bali Generation Unit / Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,2236.5404371584696,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltgu Muara Karang Repowering,WRI1000880,753.0,-6.1087,106.7877,Gas,,Pln – Java Bali Generation Unit / Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,3308.673770491803,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltgu Muara Karang Repowering Blok 2,WRI1000881,210.0,-6.1087,106.7877,Gas,,Pln – Java Bali Generation Unit / Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,922.7377049180328,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltgu Muara Tawar Block 1 &2,WRI1000882,920.0,-6.0867,106.9987,Gas,,Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,4042.469945355191,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltgu Muara Tawar Block 5,WRI1000883,384.0,-6.0867,106.9987,Gas,,Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,1687.2918032786886,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltgu Priok Block 1   2,WRI1000885,1180.0,-6.1102,106.8671,Gas,,Pt. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,5184.907103825137,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltgu Sengkang/Wajo,WRI1000886,135.0,-5.14,119.4221,Gas,,Pt. Energy Sengkang,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,593.1885245901639,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltgu Tambak Lorok,WRI1000887,1034.0,-6.9505,110.434,Gas,,Pln – Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,4543.384699453552,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltmg Panaran,WRI1000894,24.0,0.1807,101.8444,Gas,,Bright Pln Batam,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,105.45573770491804,Medium (10–100 MW),Fossil,PLN Group
IDN,Indonesia,Pltmg Pulau Bunyu,WRI1000898,2.0,3.5,117.8333,Gas,,Pln,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,8.787978142076502,Small (<10 MW),Fossil,PLN Group
IDN,Indonesia,Pltmg Tj. Jabung,WRI1000904,8.0,-1.0167,104.3667,Gas,,Pt. Tanjung Jabung Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,35.15191256830601,Small (<10 MW),Fossil,Non-PLN
IDN,Indonesia,Pltu - Palu - Mpanau - Tawaeli,WRI1000906,30.0,-0.8917,119.8707,Coal,,Pt. Pusaka Jaya Palu Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,159.3238591226057,Medium (10–100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltu -Jeneponto I & Ii,WRI1000907,250.0,-5.6184,119.5506,Coal,,Pt Bosowa Energy,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,1327.6988260217142,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltu Asam-Asam 1 & 2,WRI1000910,260.0,-3.9253,115.1043,Coal,,Pln - South Kalimantan Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,1380.8067790625828,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltu Banjarsari/Merapi Timur-Lahat,WRI1000913,220.0,-3.7241,103.6894,Coal,,Pt. Bukit Pembangkit Inovatif (Pt Ba 59.75%  Pt Pjb 29.15% Dan Pt Navigate Innovative Indonesia (Pt Nii) 11.1%),Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,1168.3749668991086,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltu Banten 1 - Suralaya Unit 8,WRI1000914,625.0,-6.0585,106.4646,Coal,,Pln -.Pt Indonesia Power - 2010,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,3319.247065054285,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltu Banten 2 - Labuhan,WRI1000915,600.0,-6.3919,105.8288,Coal,,Pln / 2010,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,3186.477182452114,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltu Banten 3 - Teluk Naga/Lontar,WRI1000916,945.0,-6.0585,106.4646,Coal,,Pln + Dongfang Electrik Corp  Pt Dalle Energy,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,5018.70156236208,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltu Bilibili,WRI1000918,2.0,-2.5213,121.357,Coal,,Pln-South&South East Sulawesi Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,10.621590608173712,Small (<10 MW),Fossil,PLN Group
IDN,Indonesia,Pltu Bukit Asam,WRI1000919,30.0,-3.7316,103.7975,Coal,,Pt Ba For Own Use,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,159.3238591226057,Medium (10–100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltu Cilacap 1 & 2,WRI1000920,600.0,-7.7513,109.0186,Coal,,Pt. Sumber Segara Primadaya,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,3186.477182452114,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltu Cirebon,WRI1000921,660.0,-6.7704,108.6151,Coal,,Pt. Cirebon Electric Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,3505.1249006973258,Large (>100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltu Embalut - Tanjung Batu,WRI1000925,50.0,-0.5,117.15,Coal,,Pt. Cahaya Fajar Kaltim,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,265.53976520434287,Medium (10–100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltu Gresik,WRI1000929,600.0,-7.1633,112.6615,Coal,,Pln - Java Bali Generation Unit / Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,3186.477182452114,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltu Hendratna,WRI1000932,5.0,-2.5213,121.357,Coal,,Pt. Hendratna Plywood,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,26.553976520434286,Small (<10 MW),Fossil,Non-PLN
IDN,Indonesia,Pltu Jabar Selatan - Pelabuhan Ratu,WRI1000938,1050.0,-7.0242,106.5464,Coal,,Pln,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,5576.3350692912,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltu Jawa Barat - Indramayu,WRI1000939,990.0,-6.2747,107.9704,Coal,,Pln + China National Electric Engineering Co.  Ltd. (Cneec),Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,5257.687351045988,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltu Jawa Tengah 1 - Rembang,WRI1000940,630.0,-6.636,111.4749,Coal,,Pln(Epc : Zeland-Priamanaya-Tronoh),Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,3345.80104157472,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltu Kaur,WRI1000943,200.0,-2.5213,121.357,Coal,,Pln,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,1062.1590608173717,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltu Keramasan,WRI1000945,25.0,-2.5213,121.357,Coal,,Pln-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,132.76988260217144,Medium (10–100 MW),Fossil,PLN Group
IDN,Indonesia,Pltu Kupang,WRI1000947,30.0,-2.5213,121.357,Coal,,Pt. Indonesia Power & Electrindo Perkasa Utama,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,159.3238591226057,Medium (10–100 MW),Fossil,Non-PLN
IDN,Indonesia,Pltu Labuhan Angin,WRI1000948,230.0,1.7176,98.7265,Coal,,Pln - North Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,1221.4829199399771,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltu Lati,WRI1000949,14.0,-2.5213,121.357,Coal,,Pln - East Kalimantan Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,74.351134257216,Medium (10–100 MW),Fossil,PLN Group
IDN,Indonesia,Pltu Listrindo,WRI1000950,2.5,-2.5213,121.357,Coal,,Pt. Listrindo (Ipp),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,13.276988260217143,Small (<10 MW),Fossil,Non-PLN
IDN,Indonesia,Pltu Muara Karang,WRI1000954,400.0,-6.1069,106.7882,Coal,,Pln - Java Bali Generation Unit / Pt. Pjb,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,2124.318121634743,Large (>100 MW),Fossil,PLN Group
IDN,Indonesia,Pltu Nad-Nagan Raya,WRI1000956,220.0,4.1089,96.1972,Coal,,Pln (Epc : Sinohydro Co. Ltd),Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,1168.3749668991086,Large (>100 MW),Fossil,PLN Group
